accession,length,description
PG349948.1,20,JP 2023516300-A/818: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PC461125.1,20,JP 2021534799-A/7: TARGETING KIT WITH SPLICE SWITCHING OLIGONUCLEOTIDES TO INDUCE APOPTOSIS OF MAST CELLS AND APPLICATIONS FOR SELECTIVE TARGETING OF MAST CELLS AND KIT-RELATED NEOPLASTIC DISEASES
PC461124.1,20,JP 2021534799-A/6: TARGETING KIT WITH SPLICE SWITCHING OLIGONUCLEOTIDES TO INDUCE APOPTOSIS OF MAST CELLS AND APPLICATIONS FOR SELECTIVE TARGETING OF MAST CELLS AND KIT-RELATED NEOPLASTIC DISEASES
PG192138.1,20,JP 2023502780-A/874: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192137.1,20,JP 2023502780-A/873: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192136.1,20,JP 2023502780-A/872: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192135.1,20,JP 2023502780-A/871: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192134.1,20,JP 2023502780-A/870: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192133.1,20,JP 2023502780-A/869: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192132.1,20,JP 2023502780-A/868: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG192131.1,20,JP 2023502780-A/867: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349949.1,20,JP 2023516300-A/819: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349950.1,20,JP 2023516300-A/820: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG382053.1,20,JP 2023517118-A/13: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PD164759.1,20,JP 2022513336-A/44: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164757.1,20,JP 2022513336-A/42: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG349951.1,20,JP 2023516300-A/821: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PD164755.1,20,JP 2022513336-A/40: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG349952.1,20,JP 2023516300-A/822: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PG349953.1,20,JP 2023516300-A/823: METHODS FOR ACTIVATION AND EXPANSION OF TUMOR INFILTRATING LYMPHOCYTES
PD164716.1,20,JP 2022513336-A/1: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164717.1,20,JP 2022513336-A/2: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164723.1,20,JP 2022513336-A/8: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG384941.1,20,JP 2023518294-A/7: ATTENUATED MYCOPLASMA BACTERIA
PG384939.1,20,JP 2023518294-A/5: ATTENUATED MYCOPLASMA BACTERIA
PG384938.1,20,JP 2023518294-A/4: ATTENUATED MYCOPLASMA BACTERIA
PG384936.1,20,JP 2023518294-A/2: ATTENUATED MYCOPLASMA BACTERIA
PG384935.1,20,JP 2023518294-A/1: ATTENUATED MYCOPLASMA BACTERIA
PG384950.1,20,JP 2023518294-A/16: ATTENUATED MYCOPLASMA BACTERIA
PG384949.1,20,JP 2023518294-A/15: ATTENUATED MYCOPLASMA BACTERIA
PG384948.1,20,JP 2023518294-A/14: ATTENUATED MYCOPLASMA BACTERIA
PD291776.1,20,JP 2022519595-A/202: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291777.1,20,JP 2022519595-A/203: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD164749.1,20,JP 2022513336-A/34: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164750.1,20,JP 2022513336-A/35: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164751.1,20,JP 2022513336-A/36: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PH295574.1,20,JP 2024170682-A/5: Transgenic non-human animals with reduced proteasome function
PD164752.1,20,JP 2022513336-A/37: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164753.1,20,JP 2022513336-A/38: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164754.1,20,JP 2022513336-A/39: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG384954.1,20,JP 2023518294-A/20: ATTENUATED MYCOPLASMA BACTERIA
PD164738.1,20,JP 2022513336-A/23: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG384952.1,20,JP 2023518294-A/18: ATTENUATED MYCOPLASMA BACTERIA
PD164747.1,20,JP 2022513336-A/32: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164741.1,20,JP 2022513336-A/26: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164743.1,20,JP 2022513336-A/28: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164744.1,20,JP 2022513336-A/29: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC352330.1,20,JP 2021513871-A/34: ADENO-ASSOCIATED VIRUS COMPOSITIONS FOR RESTORING F8 GENE FUNCTION AND METHODS OF USE THEREOF
PD164745.1,20,JP 2022513336-A/30: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC395529.1,20,JP 2021523153-A/6: A Pharmaceutical Combination for use in the treatment of cancer
PC395528.1,20,JP 2021523153-A/5: A Pharmaceutical Combination for use in the treatment of cancer
PD164735.1,20,JP 2022513336-A/20: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PD164746.1,20,JP 2022513336-A/31: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG116159.1,20,JP 2022551087-A/10: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116160.1,20,JP 2022551087-A/11: Compounds and pharmaceutical compositions for treating autoimmune diseases
PG116166.1,20,JP 2022551087-A/17: Compounds and pharmaceutical compositions for treating autoimmune diseases
PC355592.1,20,JP 2021518141-A/23: TRANSCRIPTION MODULATION IN ANIMALS USING CRISPR/CAS SYSTEMS
PC356211.1,20,JP 2021519067-A/5: GENE EDITING FOR AUTOSOMAL DOMINANT DISEASES
PC356212.1,20,JP 2021519067-A/6: GENE EDITING FOR AUTOSOMAL DOMINANT DISEASES
PC355590.1,20,JP 2021518141-A/21: TRANSCRIPTION MODULATION IN ANIMALS USING CRISPR/CAS SYSTEMS
PC355591.1,20,JP 2021518141-A/22: TRANSCRIPTION MODULATION IN ANIMALS USING CRISPR/CAS SYSTEMS
PC493709.1,20,JP 2022513333-A/3: Method for diagnosing diseases using multiplex fluorescence and sequencing
PC395527.1,20,JP 2021523153-A/4: A Pharmaceutical Combination for use in the treatment of cancer
PG382055.1,20,JP 2023517118-A/15: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PD291775.1,20,JP 2022519595-A/201: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291774.1,20,JP 2022519595-A/200: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291773.1,20,JP 2022519595-A/199: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291772.1,20,JP 2022519595-A/198: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291771.1,20,JP 2022519595-A/197: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291770.1,20,JP 2022519595-A/196: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291769.1,20,JP 2022519595-A/195: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG382058.1,20,JP 2023517118-A/18: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
PD291780.1,20,JP 2022519595-A/206: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291779.1,20,JP 2022519595-A/205: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PD291778.1,20,JP 2022519595-A/204: COMBINATION GENE TARGETS FOR IMPROVED IMMUNOTHERAPY
PG384951.1,20,JP 2023518294-A/17: ATTENUATED MYCOPLASMA BACTERIA
PG384942.1,19,JP 2023518294-A/8: ATTENUATED MYCOPLASMA BACTERIA
PG384940.1,19,JP 2023518294-A/6: ATTENUATED MYCOPLASMA BACTERIA
PD164724.1,19,JP 2022513336-A/9: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PG116164.1,19,JP 2022551087-A/15: Compounds and pharmaceutical compositions for treating autoimmune diseases
PD206829.1,19,JP 2022515211-A/7: Small RNA
PD206830.1,19,JP 2022515211-A/8: Small RNA
PG382034.1,19,JP 2023517117-A/10: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
PG382059.1,19,JP 2023517118-A/19: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for TSLP inhibition and for the treatment or alleviation of skin inflammatory disease and the use thereof
9IOR_A,19,"Chain A, INTERACTION BETWEEN A FLUOROQUINOLONE DERIVATIVE KG022 AND RNAS: EFFECT OF BASE PAIRS 5' ADJACENT TO THE BULGE OUT ESIDUES"
9IOS_A,19,"Chain A, INTERACTION BETWEEN A FLUOROQUINOLONE DERIVATIVE KG022 AND RNAS: EFFECT OF BASE PAIRS 5' ADJACENT TO THE BULGE OUT ESIDUES"
9IOU_A,19,"Chain A, INTERACTION BETWEEN A FLUOROQUINOLONE DERIVATIVE KG022 AND RNAS: EFFECT OF BASE PAIRS 5' ADJACENT TO THE BULGE OUT ESIDUES"
9IO1_A,19,"Chain A, INTERACTION BETWEEN A FLUOROQUINOLONE DERIVATIVE KG022 AND RNAS: EFFECT OF BASE PAIRS 5' ADJACENT TO THE BULGE OUT RESIDUES"
PH014997.1,19,"JP 2023522022-A/14: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PG382040.1,19,JP 2023517117-A/16: a topical composition comprising the extract of combined herbs comprising Longanae Arillus for the treatment or alleviation of skin ulcer and the use thereof
9IO0_A,19,"Chain A, INTERACTION BETWEEN A FLUOROQUINOLONE DERIVATIVE KG022 AND RNAS: EFFECT OF BASE PAIRS 5' ADJACENT TO THE BULGE OUT ESIDUES"
PH014998.1,19,"JP 2023522022-A/15: sCD83 for Wound Healing, Hair Growth, and Skin and Hair Care"
PG116178.1,19,JP 2022551087-A/29: Compounds and pharmaceutical compositions for treating autoimmune diseases
PC493710.1,19,JP 2022513333-A/4: Method for diagnosing diseases using multiplex fluorescence and sequencing
PG384937.1,18,JP 2023518294-A/3: ATTENUATED MYCOPLASMA BACTERIA
PD164730.1,18,JP 2022513336-A/15: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC345336.1,18,JP 2021514182-A/311: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PD231396.1,18,JP 2022523639-A/86: LIVER-SPECIFIC INDUCIBLE PROMOTERS AND METHODS OF USE THEREOF
PD203311.1,18,JP 2022516848-A/3: BTN3A BINDING PROTEINS AND USES THEREOF
PD169393.1,18,JP 2022507487-A/13: CD25 ANTIBODIES
PD169386.1,18,JP 2022507487-A/6: CD25 ANTIBODIES
PC345343.1,18,JP 2021514182-A/318: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PD169404.1,18,JP 2022507487-A/24: CD25 ANTIBODIES
PG110172.1,18,"JP 2022549172-A/16: GIPR ANTIBODY AND FUSION PROTEIN BETWEEN SAME AND GLP-1, AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF"
PG053289.1,18,JP 2022540918-A/15: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PC355041.1,18,"JP 2021518132-A/16: GIPR Antibody and GLP-1 Fusion Protein Thereof, and Pharmaceutical Composition and Application Thereof"
PC493712.1,18,JP 2022513333-A/6: Method for diagnosing diseases using multiplex fluorescence and sequencing
PG049010.1,18,JP 2022534560-A/3: NON-HUMAN ANIMALS COMPRISING A HUMANIZED ALBUMIN LOCUS
PC345335.1,17,JP 2021514182-A/310: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PC345338.1,17,JP 2021514182-A/313: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PD164731.1,17,JP 2022513336-A/16: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC345340.1,17,JP 2021514182-A/315: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PC345337.1,17,JP 2021514182-A/312: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PD231400.1,17,JP 2022523639-A/90: LIVER-SPECIFIC INDUCIBLE PROMOTERS AND METHODS OF USE THEREOF
PC493708.1,17,JP 2022513333-A/2: Method for diagnosing diseases using multiplex fluorescence and sequencing
PC493714.1,17,JP 2022513333-A/8: Method for diagnosing diseases using multiplex fluorescence and sequencing
PD164719.1,17,JP 2022513336-A/4: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC345344.1,17,JP 2021514182-A/319: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PD164742.1,16,JP 2022513336-A/27: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC345341.1,16,JP 2021514182-A/316: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PC345339.1,16,JP 2021514182-A/314: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PD164748.1,16,JP 2022513336-A/33: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC345345.1,16,JP 2021514182-A/320: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PC345342.1,16,JP 2021514182-A/317: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PC345346.1,16,JP 2021514182-A/321: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PC345334.1,16,JP 2021514182-A/309: OLIGONUCLEOTIDES FOR MODULATING TMEM106B EXPRESSION
PC493713.1,16,JP 2022513333-A/7: Method for diagnosing diseases using multiplex fluorescence and sequencing
PD231313.1,16,JP 2022523639-A/3: LIVER-SPECIFIC INDUCIBLE PROMOTERS AND METHODS OF USE THEREOF
PD231398.1,16,JP 2022523639-A/88: LIVER-SPECIFIC INDUCIBLE PROMOTERS AND METHODS OF USE THEREOF
PD231367.1,16,JP 2022523639-A/57: LIVER-SPECIFIC INDUCIBLE PROMOTERS AND METHODS OF USE THEREOF
PG239003.1,15,JP 2023506925-A/8: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PG087109.1,15,"JP 2022549495-A/2: COMBINATION ANTI-CD30 ADC, ANTI-PD-1 AND CHEMOTHERAPEUTIC FOR TREATMENT OF HEMATOPEITIC CANCERS"
PD164739.1,15,JP 2022513336-A/24: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
PC493711.1,15,JP 2022513333-A/5: Method for diagnosing diseases using multiplex fluorescence and sequencing
PC355092.1,15,JP 2021518397-A/2: USE OF ANTIBODY DRUG CONJUGATES COMPRISING TUBULIN DISRUPTING AGENTS TO TREAT SOLID TUMOR
9F3P_Y,15,"Chain Y, Cryo-EM structure of the A946T MDA5-dsRNA filament"
9F0J_Z,15,"Chain Z, Cryo-EM structure of the I923V MDA5-dsRNA filament without nucleotide"
9F0J_X,15,"Chain X, Cryo-EM structure of the I923V MDA5-dsRNA filament without nucleotide"
9F20_X,15,"Chain X, Cryo-EM structure of the I923V MDA5-dsRNA filament with ADP-AlF4 bound and 88-degree helical twist"
9F20_Y,15,"Chain Y, Cryo-EM structure of the I923V MDA5-dsRNA filament with ADP-AlF4 bound and 88-degree helical twist"
PC493684.1,15,JP 2022502508-A/2: METHODS OF TREATING PERIPHERAL T CELL LYMPHOMA USING ANTI-CD30 ANTIBODY DRUG CONJUGATE THERAPY
PC401764.1,15,JP 2021524032-A/3: BINDING PROTEINS AND CHIMERIC ANTIGEN RECEPTOR T CELLS TARGETING GASP-1 GRANULES AND USES THEREOF
PD192921.1,15,JP 2022525937-A/9: ANTIBODIES HAVING SPECIFICITY FOR BTN2 AND USES THEREOF
PG238997.1,15,JP 2023506925-A/2: BISPECIFIC CANINIZED ANTIBODIES AND BISPECIFIC BINDING PARTNERS
PC434878.1,15,JP 2021534811-A/3: ANTI-HER3 ANTIBODY AND USES THEREOF
PD203309.1,15,JP 2022516848-A/1: BTN3A BINDING PROTEINS AND USES THEREOF
PG053334.1,15,JP 2022540918-A/60: FUSION PROTEIN OF ETA ANTIBODY AND TGF-beta TRAP AND PHARMACEUTICAL COMPOSITION AND APPLICATION THEREOF
PG057247.1,15,JP 2022542808-A/49: Caninized Antibodies Against Canine CTLA-4
PG057241.1,15,JP 2022542808-A/43: Caninized Antibodies Against Canine CTLA-4
9F3P_X,15,"Chain X, Cryo-EM structure of the A946T MDA5-dsRNA filament"
PG057188.1,15,JP 2022541767-A/24: Caninized Antibodies to Human and Canine CTLA-4
9F2W_X,14,"Chain X, Cryo-EM structure of the I923V MDA5-dsRNA filament in complex with ATP"
9F2L_X,14,"Chain X, Cryo-EM structure of the I923V MDA5-dsRNA filament with ADP-AlF4 bound and 73-degree helical twist"
9F1U_Z,14,"Chain Z, Cryo-EM structure of the I923V MDA5-dsRNA filament with ADP-AlF4 bound and 81-degree helical twist"
9F2L_Y,14,"Chain Y, Cryo-EM structure of the I923V MDA5-dsRNA filament with ADP-AlF4 bound and 73-degree helical twist"
PD164721.1,14,JP 2022513336-A/6: USE OF VEGF AT MULTIPLE DOSES TO ENHANCE PERMEABILITY OF BLOOD BRAIN BARRIER
9F2W_Y,14,"Chain Y, Cryo-EM structure of the I923V MDA5-dsRNA filament in complex with ATP"
9F1U_X,14,"Chain X, Cryo-EM structure of the I923V MDA5-dsRNA filament with ADP-AlF4 bound and 81-degree helical twist"
PG348110.1,14,JP 2023515566-A/39: TRANSGLUTAMINASE-MEDIATED CONJUGATION
PG047476.1,13,JP 2022538885-A/294: TRANSGENIC MAMMALS AND METHODS OF USE THEREOF
PD231365.1,13,JP 2022523639-A/55: LIVER-SPECIFIC INDUCIBLE PROMOTERS AND METHODS OF USE THEREOF
PG051532.1,13,JP 2022538886-A/470: TRANSGENIC MAMMALS AND METHODS OF USE
